Apple_Quarter,Apple_Revenue
Q1-10,13499
Q2-10,15700
Q3-10,20343
Q4-10,26741
Q1-11,24667
Q2-11,28571
Q3-11,28270
Q4-11,46333
Q1-12,39186
Q2-12,35023
Q3-12,35966
Q4-12,54512
Q1-13,43603
Q2-13,35323
Q3-13,37472
Q4-13,57594
Q1-14,45646
Q2-14,37432
Q3-14,42123
Q4-14,74599
Q1-15,58010
Q2-15,49605
Q3-15,51501
Q4-15,75872
Q1-16,50557
Q2-16,42358
Q3-16,46852
Q4-16,78351
Q1-17,52896
Q2-17,45408
Q3-17,52579
Q4-17,88293
Q1-18,61137
Q2-18,53265
Q3-18,62900
Q4-18,84310
Q1-19,58015
Q2-19,53809
Q3-19,64040
Q4-19,91819
Q1-20,58313
Q2-20,59685
Q3-20,64698
Q4-20,111439
Q1-21,89584
Q2-21,81434
Q3-21,83360
Q4-21,123945
Q1-22,97278
Q2-22,82959
Q3-22,90146
Q4-22,117154
Q1-23,94836
Q2-23,81797
Q3-23,89498
Q4-23,119575
