Microsoft_Quarter,Microsoft_Revenue
Q1-10,14503
Q2-10,16039
Q3-10,16195
Q4-10,19953
Q1-11,16428
Q2-11,17367
Q3-11,17372
Q4-11,20885
Q1-12,17407
Q2-12,18059
Q3-12,16008
Q4-12,21456
Q1-13,20489
Q2-13,19896
Q3-13,18529
Q4-13,24519
Q1-14,20403
Q2-14,23382
Q3-14,23201
Q4-14,26470
Q1-15,21729
Q2-15,22180
Q3-15,20379
Q4-15,23796
Q1-16,20531
Q2-16,26448
Q3-16,21928
Q4-16,25826
Q1-17,23212
Q2-17,25605
Q3-17,24538
Q4-17,28918
Q1-18,26819
Q2-18,30085
Q3-18,29084
Q4-18,32471
Q1-19,30571
Q2-19,33717
Q3-19,33055
Q4-19,36906
Q1-20,35021
Q2-20,38033
Q3-20,37154
Q4-20,43076
Q1-21,41706
Q2-21,46152
Q3-21,45317
Q4-21,51728
Q1-22,49360
Q2-22,51865
Q3-22,50122
Q4-22,52747
Q1-23,52857
Q2-23,56189
Q3-23,56517
Q4-23,62020
