NVIDIA_Quarter,NVIDIA_Revenue
Q1-10,982
Q2-10,1002
Q3-10,811
Q4-10,844
Q1-11,886
Q2-11,962
Q3-11,1017
Q4-11,1066
Q1-12,953
Q2-12,925
Q3-12,1044
Q4-12,1204
Q1-13,1107
Q2-13,955
Q3-13,977
Q4-13,1054
Q1-14,1144
Q2-14,1103
Q3-14,1103
Q4-14,1225
Q1-15,1251
Q2-15,1151
Q3-15,1153
Q4-15,1305
Q1-16,1401
Q2-16,1305
Q3-16,1428
Q4-16,2004
Q1-17,2173
Q2-17,1937
Q3-17,2230
Q4-17,2636
Q1-18,2911
Q2-18,3207
Q3-18,3123
Q4-18,3181
Q1-19,2205
Q2-19,2220
Q3-19,2579
Q4-19,3014
Q1-20,3105
Q2-20,3080
Q3-20,3866
Q4-20,4726
Q1-21,5003
Q2-21,5661
Q3-21,6507
Q4-21,7103
Q1-22,7643
Q2-22,8288
Q3-22,6704
Q4-22,5931
Q1-23,6051
Q2-23,7192
Q3-23,13507
Q4-23,18120
