Tesla_Quarter,Tesla_Revenue
Q1-14,621
Q2-14,769
Q3-14,852
Q4-14,957
Q1-15,940
Q2-15,955
Q3-15,937
Q4-15,1214
Q1-16,1147
Q2-16,1270
Q3-16,2298
Q4-16,2285
Q1-17,2696
Q2-17,2790
Q3-17,2985
Q4-17,3288
Q1-18,3409
Q2-18,4002
Q3-18,6824
Q4-18,7226
Q1-19,4541
Q2-19,6350
Q3-19,6303
Q4-19,7384
Q1-20,5985
Q2-20,6036
Q3-20,8771
Q4-20,10744
Q1-21,10389
Q2-21,11958
Q3-21,13757
Q4-21,17719
Q1-22,18756
Q2-22,16934
Q3-22,21454
Q4-22,24318
Q1-23,23329
Q2-23,24927
Q3-23,23350
Q4-23,25167
